Proverb,Translation,Wisdom/Explanation,Specific Themes,General Theme
Abu omi lámù arí eégún; kí ni ẹni tó lọ sódò lọ pọn mi yó rí?,We scoop water from the water pot and see a masquerader; what will the person who goes to draw water at the river find?,"If a person exposed to minimal risk cries disaster, what would the person exposed to much greater risk do?",caginess caution moderation patience prudence,Good person
Afún ọni ṣu lỌ̀yọ̀ ó ń dúpẹ̀; orí gisè é ná?,You are given yams at Ọ̀yọ̀ and you rejoice; have you secured wood to cook them?,Never assume that a propitious beginning assures a successful conclusion.,caginess caution moderation patience prudence,Good person
A ki ẹsẹ̀ kan bọ odò omí fàá; bí a bá wá ti mejèèjì bọ̀ ńkọ?,One dips one leg into the stream and the water tugs at it; what if one had dipped both legs in it?,Repercussions should not be disproportionate to the act.,caginess caution moderation patience prudence,Good person
A kìí bá ẹlẹ́nu jìjà ò ru,One does not fight at night with a braggart,Never get into a competition with a braggart unless a witness is present.,caginess caution moderation patience prudence,Good person
A kìí bú ọba oní gẹ̀gẹ̀ lójú àwọn èèyàn-án rẹ̀,One does not insult a king with a goiter in the presence of his people,Never expose yourself to repercussions with careless speech or indiscreet behavior.,caginess caution moderation patience prudence,Good person
A kìí dú orí olórí kí àwòdì gbẹ́ tẹni lọ,One does not fight to save another person’s head only to have a kite carry one’s own away,One should not save others at the cost of one’s own safety.,caginess caution moderation patience prudence,Good person
A kìí fì ìkánjú là ọbẹ̀ gbígbóná,One does not eat scalding stew in a hurry,Patience is best in delicate or difficult matters.,caginess caution moderation patience prudence,Good person
A kìí gbẹ́ légba ọfà láì lọ ogun,"One does not sit at home, not going to war, and yet be shot with an arrow",One should be safe in one’s own home.,caginess caution moderation patience prudence,Good person
A kìí kánjú tu olú-ọrán; igba ẹ̀ ò tó-ó ṣe bẹ̀,One does not gather olú-ọrán mushrooms in haste; two hundred of them are not enough to make a stew,Certain tasks demand patience if they are to come out right.,caginess caution moderation patience prudence,Good person
A kìí rí dìí òkun; a kìí rí dìí ọsà; ọmọ-oni-gele-gele kìí jẹ́ kí wọ́n rí dìí òun,One never sees the bottom of the ocean; no one ever sees the bottom of the lagoon; a well-bred woman will never expose her buttocks to anyone,People should not expose their innermost secrets to all and sundry.,caginess caution moderation patience prudence,Good person
A kìí ró jú ẹni purọ́ mọ́ọni,One does not look into the eyes of a person and still tell a lie against that person,It is always easier to do evil to people who are absent.,caginess caution moderation patience prudence,Good person
A kìí sọ̀rọ̀ bí bẹ́ lójú ọmọdé; lọ́rùn lọ́rùn ni yó máa wo olú wa-arẹ̀,"One does not speak of a beheading in the presence of a child; otherwise, his gaze will be fixated on the neck of the person concerned",Never discuss a secret in the hearing of a person whose behavior will give the secret away.,caginess caution moderation patience prudence,Good person
