proverb,translation,wisdom,scenarios
Àbàtà takété bí ẹni pé kò bá odò tan,The marshy place keeps aloof as if it is unrelated to the river,"When the going gets tough, pretty few will stick with you: mentally prepare for this; everybody loves the winner, but when you lose, you are on your own.","Tunde’s startup was thriving, and friends praised his success. When it hit trouble, most stopped calling. Tunde relied on his resilience, learning loyalty is rare in tough times.;Amaka was a star athlete, celebrated during wins. An injury sidelined her, and only family checked in. She braced for future challenges, knowing support often ties to success.;Chidi’s campaign had loud supporters when polls favored him. As his opponent gained, many left, leaving a loyal few. He valued those who stayed and prepared for betrayals."
Ilẹ̀ àánú Olúwa kì í ṣú,God's mercy never runs out,No impossibility with God: He cannot be contained or cornered; keep hope alive.,"Funmi lost her job and felt hopeless, struggling with rent. A stranger offered a freelance gig just as eviction loomed. She held onto hope, trusting solutions come unexpectedly.;Ade’s diagnosis was dire, with little optimism from doctors. A new treatment appeared, and he recovered. He kept praying, believing divine intervention changes situations."
Orúkọ tí a bá sọ ajá ẹni lọmọ aráyé ńbá ni í pèé,"Whatever name one calls one's dog, that is the name others will call it as well",Speak positively: words objectify themselves; never describe yourself or what you do in negative terms.,"Kemi called her business “just a side hustle,” and clients treated it casually. Labeling it a “growing enterprise” made customers take her seriously, increasing orders. Her words shaped perceptions.;Jide joked about being “clumsy” at work, and colleagues distrusted him with projects. Describing himself as “careful” earned him more responsibility. Positive self-description changed his reputation.;Bola’s friends called her art “cute doodles,” and she adopted the term. Labeling it “professional illustrations” drew gallery interest. Her words influenced her talent’s value."
"Kò sí bí àtùpà ṣe lè lágbára tó, kò lè ríran rí ìdí ara rẹ̀","No matter how strong a lamp is, it cannot light up it's base","No matter how strong anyone is, he or she will always need the input of others; no one is wholly self-sufficient, nor indeed can be.","Emeka, a brilliant coder, struggled to market his app. A friend’s promotion help led to soaring downloads. He saw his skills needed others’ expertise.;Chioma ran her restaurant well but couldn’t fix plumbing alone. Hiring a professional saved her business. She learned even the capable need support."
"Ẹni a fẹ́ la mọ̀, a ò mọ ẹni tó fẹ́'ni","You do know who you love for sure, but you cannot be certain of who really loves you",Be perceptive; things are often not as they appear.,"Yemi trusted her colleague’s flattery, thinking they were friends. The colleague sabotaged her for a promotion. Yemi grew cautious, seeing intentions aren’t always genuine.;Tolu lent money to a “loyal” friend who never repaid. A quiet acquaintance helped Tolu selflessly. She observed actions, not words, to discern loyalty.;Sade thought her partner’s gifts showed love, but he was dismissive in her struggles. A neighbor supported her quietly. She valued sincerity over superficial gestures."
"A kì í dámọ̀nràn àti tà'kìtì lágbàlá ọ̀bọ, nítorí ọ̀bọ fúnra'ra rẹ̀, ọba òkìtì ni","Never toy with the idea of somersaulting in the vicinity of a monkey: monkeys themselves, are experts at somersaulting",Be modest; don't make a needless show of your ignorance.,"Dayo bragged about coding skills before a senior developer, then fumbled at the task. The developer corrected him, and Dayo felt embarrassed. He learned quietly that it's better to embrace humility instead of boasting.;Amara tried outshining a veteran chef with a flashy dish she barely practiced. Her dish failed, while the chef’s simple recipe won. She learnt to respect expertise and avoided showing off."
Àdàbà ò náání à ńkùn'gbẹ́; pápá ńjó ẹyẹ oko fò lọ,"The dove is unmoved by the bush being set on fire; once on fire, it simply flies away","Be strategic; in every situation, always have an assured plan B: it engenders calm in the midst of a storm.","Ngozi saved money while working a stable job, anticipating layoffs. When her company downsized, she started a side business calmly. Her backup plan kept her steady.;Femi learned multiple skills, knowing his industry was volatile. When his job slowed, he pivoted to consulting without panic. His expertise was his escape route.;Aisha had an exit strategy for her rentals. When her landlord raised rent, she moved to a prepared alternative. Her foresight kept her unruffled."
Bàtà orí àkìtàn náà re òde ìyàwó rí,Those pair of shoes on the refuse dump was once worn to a wedding,Change is inevitable: a season must need go and another must need come; nothing lasts forever.,"Kunle led a top company, but economic shifts closed it. Now in a modest job, he accepts success can fade. He focuses on adapting.;Lara’s trendy boutique was popular until tastes changed. Her shop closed, but she retrained as a stylist. She understood no glory is permanent."
Èéfín ni ìwà; kò ṣeé fi pamọ́,Character is like smoke: it cannot be covered up,We cannot pretend to be who we are not for very long.,"Chike posed as a generous donor to gain trust. His stinginess in private leaked, and people shunned him. His true nature couldn’t hide.;Ronke was polite at work but gossiped cruelly. Her exposed messages lost her colleagues’ trust. Her character revealed itself.;Obi claimed honesty in pitches, but clients found exaggerated claims. They canceled contracts, ruining his reputation. His dishonesty surfaced."
"Ṣiṣẹ́ ṣiṣẹ́ ò gọ̀, ó fẹ́ jàre ìṣẹ́ ni; ẹni tó kọ̀ tí ò ṣiṣẹ́ fẹ́ yan ìṣẹ́ láàyò ni","The diligent isn't stupid, he or she simply wants to defeat poverty; the person who refuses to work, really seeks to partner with poverty",Diligence is a choice: choose right.,"Tobi worked extra hours to fund education, despite mockery. He graduated and got a good job, while peers struggled. His hard work paid off.;Ezinne built her tailoring business on weekends, despite exhaustion. Her dedication attracted clients, unlike idle peers. She chose diligence and prospered."
Ọgbọ́n ju agbára lọ,Wisdom is better than strength,Pursue wisdom.,"Segun, a strong laborer, earned little lifting loads. Learning a skilled trade doubled his income. Wisdom outshone strength.;Adaeze farmed with brute effort but had poor yields. Studying soil management boosted her crops with less work. Wisdom proved better.;Uche wrestled easily but lost a deal due to poor negotiation. A strategy course won future contracts. Wisdom was more powerful."
"Òròmọadìyẹ ńbá àṣá ṣeré, ó rò pé ẹyẹ oko lásán ni",The chick gullibly plays with the hawk believing it to be an ordinary bird,"Naivety can be risky, if not fatally costly.","Kemi trusted an online “investor” promising quick returns. She lost savings when the scheme collapsed. She learned to verify trust.;Bayo shared his startup idea with a competitor, thinking it was casual. The competitor launched it first, ruining Bayo’s plans. He guarded ideas after."
"Bí afọ́jú bá lóun yóò fọ́'ni lójú, ó yẹ ká fura, nítorí tí kò bá mú nǹkan lọ́wọ́, ó lè tẹ nǹkan mọ́lẹ̀","If a blind man threatens to make you blind, be wary; if he has nothing in his hands, he may have something under his feet",Don't be presumptuous; underestimate no one.,"Tunde dismissed a coworker’s project warning. The issue cost the team, as the coworker predicted. Tunde respected all input after.;Amaka ignored a vendor’s threat to disrupt her supply. The vendor rallied others, delaying deliveries. She saw even minor players matter.;Chidi laughed off a junior’s critique of his plan. The flaw she spotted tanked the campaign. He stopped underestimating others."
"Èyí wù mí, ò wù ọ́, lọmọ ìyá méjì ṣe ńfẹ́ ìyàwó ọ̀tọ̀ọ̀tọ̀",What appeals to me does not necessarily appeal to you is the reason two maternal brothers have different wives,Different strokes for different folks; people are entitled to their choices: live and let live.,"Funmi loved spicy food, but Ada preferred mild. They stopped arguing and enjoyed separate dishes. Accepting differences strengthened them.;Jide wanted a corporate job, while Tolu chose entrepreneurship. Their parents supported both, avoiding conflict. They respected individual choices."
".Ẹni tó ńlé nǹkan níwájú, ńfi àwọn nǹkan míràn sẹ́hìn","Whoever is pursuing something ahead, is actually leaving some other things behind. I","There's always a price tag: we must let go of what is behind, if we want to lay hold of what is ahead.","Ngozi moved abroad for a career, leaving friends behind. She missed them but gained success. She accepted the trade-off.;Femi quit his job to start a business, losing short-term security. His venture grew, but he lost family evenings. Progress required letting go.;Aisha focused on studies, skipping social events. She graduated with honors but missed fun. Her goal demanded sacrifices."
Àmójúkúrò ni í mú ẹ̀mí ìfẹ́ gùn,Willingness to overlook is what makes for an enduring loving relationship,"If it is wrong, love will not see it; tolerance is crucial.","Tobi ignored his wife’s tardiness, valuing their bond. Their marriage stayed strong through patience. Tolerance kept love alive.;Ezinne overlooked her friend’s blunt comments, knowing her heart was good. Their friendship endured where others faltered. She chose love over criticism."
A kì í fi ẹ̀tẹ̀ sílẹ̀ pa làpálàpá,Do not leave leprosy unattended while preoccupied with treating ringworm,Think perceptively and strategically: don't lose sight of the forest for the trees: look at the bigger picture; things are often more than they seem.,"Kemi fixed minor website bugs but ignored a security flaw. A hack cost her company, teaching her to prioritize critical issues. She saw the bigger picture.;Jide perfected his car’s paint but ignored faulty brakes. A near-accident made him reassess. He addressed root problems first.;Bola obsessed over party decor but neglected guests’ dietary needs. Complaints overshadowed the event. She planned broadly after."
"Bí inú bá bí baba tó bá gbé ọmọ ẹ̀ jù sí inú èèrùn, bí inú ẹ̀ bá rọ̀, inú èèrùn lè má rọ̀","If a father gets so angry as to throw his child into a raid of army ants, by the time he calms down, the ants may not be",Don't be hasty in anger: calm down; avoid rashness.,"Chidi yelled at his employee over a mistake, nearly firing him. After cooling off, the employee had resigned. He paused before reacting after.;Amaka deleted her friend’s contact in anger. By the time she calmed, the friend had moved on. She avoided rash decisions later."
"Báa gún iyán, táa ro ọkà fún kòfẹ́kògbà, kò ní fẹ́, kò ní gbà, náà ni","Even if you pound yam and prepare yam flour meal for a contentious person, he or she will yet remain contentious","Be forward-looking, be positive; do your best and keep moving.","Tolu pleased a difficult client with extra work, but they criticized him. He delivered quality and moved on. He stayed positive.;Sade cooked for her grumpy neighbor, who complained. She stayed kind but focused on her goals. Positivity kept her unshaken.;Obi exceeded a picky boss’s expectations, yet faced complaints. He did his best and sought better opportunities. He ignored negativity."
"Bó ti wù kí ojú kan tóbi tó, ojú méjì sàn ju ojú kan lọ","No matter how big an eye is, two eyes are better than one",Team effort is superior.,"Emeka built a house alone but struggled with flaws. A team of builders finished it faster and better. Collaboration was key.;Chioma planned a community event solo, but it was chaotic. A team’s help made it smooth next time. Group effort beat solo work."
A kì í sọ òkò sí ẹyẹ tó ńwá ọ̀nà àti fò,Do not throw stones at a bird that seeks to fly away,Act in wisdom: do not pre-empt or worsen an already deplorable situation.,"Yemi’s employee was quitting due to stress, and she avoided criticism. Her kind exit interview led to a referral. She chose wisdom.;Tolu saw his friend struggling and didn’t press for a loan repayment. His patience preserved their bond. He avoided escalating tensions.;Sade gave her upset sister space instead of pushing her. Her sister opened up later. She acted wisely to avoid worsening things."
Ikú fẹ́ pa alápatà ó ńkígbe; ọmọ ẹranko tó ti dá lóró ńkọ́?,Death stalks the butcher and he screams; what about the animals he's butchered?,Exact from no one what you are unwilling to impose on yourself; be fair and considerate.,"Kemi demanded perfection from her team but overlooked her errors. They called her out, and she felt embarrassed. She held herself to the same standard.;Jide criticized his sibling for laziness but ignored his procrastination. His sibling pointed out hypocrisy, and Jide changed. He practiced fairness."
"Tí ìṣẹ́ ò bá jẹ́ ká sọ òdodo, àìṣòdodo kò ní jẹ́ ká bọ́ lọ́wọ́ ìṣẹ́","If fear of poverty makes us lie, lying will keep us entrenched in poverty, as well","Honesty pays; dishonest lifestyle does exact hefty fees, at the end.","Tobi exaggerated his resume but couldn’t deliver. He was fired, losing more than he gained. He built skills honestly after.;Ezinne sold fake products for quick cash, but bad reviews collapsed her business. She rebuilt with integrity. Honesty proved valuable.;Ade hid a car’s faults to sell it, but the buyer sued. Legal fees drained him. He chose transparency thereafter."
"Ojú tí kò rí yànnà yánná iná, yẹ̀rẹ̀ yẹrẹ oòrùn, kì í rí yìndìn yindin idẹ","A pair of eyes that won't endure the fiery flames of fire, the searing glare of the sun, can't hope to enjoy the glittering beauty of brass","No pain, no gain; no guts, no glory.","Funmi avoided studying late but wanted high grades. She failed and learned effort was key. She worked hard for success.;Jide skipped training, fearing injury, but dreamed of winning races. He lost and practiced rigorously. Sacrifice brought rewards."
Ọ̀nà kan ò wọ ọjà,Not just one route leads to the market,Alternative approaches exist; there are many ways to achieve an end; don't be fixated on one.,"Ngozi’s job application failed, but an internship led to a better role. Multiple paths brought success. She stayed flexible.;Femi’s loan was denied, so he crowdfunded his startup. The campaign succeeded, showing other routes. He embraced alternatives.;Aisha’s college rejection led to a vocational program. She built a thriving career. Different paths worked."
Ẹni tó bá ní kí ọ̀rẹ́ òun má jọba ni kò ní lọ̀rẹ́ ọba,"Whoever blocks his friend from becoming a king won't have a king as a friend.,",Foster goodness: those plotting evil for others often share in the evil results; we reap whatever we sow.,"Tolu sabotaged his colleague’s promotion out of jealousy. The colleague left, cutting ties. Tolu lost a connection.;Sade discouraged her friend’s business, hoping to outshine her. The friend succeeded and distanced herself. Harming others backfired."
Ẹni tí a  ńbá ná'jà la ńwò a kì í wo ariwo ọjà,Wẹ should be focused on the person we are trading with and not the din and bustle in the market,Be focused; shun distractions.,"Emeka lost a client by checking his phone during a meeting. He missed details and seemed uninterested. He stayed present after.;Chioma got distracted by social media while studying and failed. Phone-free study hours improved her grades. Focus brought results.;Obi ignored a customer, drawn to a market argument. The customer left, costing a sale. He prioritized clients."
Etí mẹ́ta ò yẹ orí; èèyàn mẹ́ta ò lè dúró ní méjì-méjì,Three ears do not suit the head; three people cannot stand in groups of twos,There is always a right and wrong way to do anything: focus on the right way.,"Kemi mixed incompatible chemicals, causing a reaction. Following protocol gave accurate results. She stuck to proper methods.;Jide rushed a project with shortcuts, delivering poor work. Redoing it correctly earned praise. He prioritized the right approach."
A kì í mọ iyì wúrà tí kò bá sọnù,A piece of gold (ornament) is seldom appreciated until it gets lost,"We seldom appreciate what we have, until we lose it; the available is easily taken for granted.","Tobi ignored his mother’s advice, thinking it common. After her passing, he craved her wisdom. He regretted not valuing her.;Amaka complained about her job, overlooking benefits. When laid off, she missed stability. She appreciated what she had.;Chidi took his car’s reliability for granted. A breakdown made him realize its value. He maintained it better."
Àìdúpẹ́ oore àná a máa mú oore sú'ni í ṣe,Lack of gratitude for yesterday's kindness does make future acts of kindness tiresome,Attitude of gratitude is it; take nothing for granted: whatever is taken for granted diminishes; whatever is appreciated increases.,"Funmi never thanked her mentor, so he stopped helping. She apologized, and he resumed. Gratitude restored opportunity.;Jide accepted family support without thanks, and they felt unvalued. Expressing gratitude made them give willingly. Gratitude worked."
"Oò ṣá igi lọ́gbẹ́, oò ta ògùrọ̀ lọfà, o dé ìdí ọ̀pẹ, o ńgbẹ́nu s'ókè; ṣé ọ̀fẹ́ ló máa ńro ni?","You neither hacked a palm nor stabbed a raffia, yet you opened up your mouth under a palm for wine; does it drip freely?",No free lunch; take responsibility; pay the price.,Ngozi expected free supplies without networking. She invested in relationships and earned discounts. Effort brought rewards.;Femi demanded a promotion without work but was denied. Taking on tasks earned it later. Nothing comes without cost.;Aisha wanted free tutoring but didn’t study. Paying for classes and working hard passed exams. Success required effort.
"Àgbẹ̀ tó jẹun yó tó fọ́ akèrègbè, ti gbàgbé pé ọjọ́ òǹgbẹ ṣì ńbọ̀","The farmer who ate, had his fill, and broke the water gourd has forgotten that days of thirst are ahead",Be strategic: think ahead; never slam the door on your way out: you may need it opened in future.,"Tunde quit his job rudely, burning bridges. He needed a reference but was refused. He exited gracefully after.;Adaeze sold her tools, assuming she’d never farm. Rising prices made her regret it. She planned better."
"Òjò tó rọ̀ sí ewúro, náà ló rọ̀ sí ìrèké","The same rain that fell on the bitter-leaf, fell on the sugarcane (yet bitter-leaf is bitter while sugarcane remains sweet.)",Our reactions tell of who we really are deep down; bitter or vengeful responses are by choice.,"Emeka and Chioma lost contracts but reacted differently. Emeka found new clients, while Chioma grew bitter. Choices showed their selves.;Obi faced criticism but responded kindly, earning respect. His colleague lashed out, losing allies. Reactions revealed character."
Adániwáyè ò gbàgbé ẹnìkan; àìmàsìkò ló ńdààmú ẹ̀dá,God has not forgotten anyone; ignorance of divine timing is what makes us fret,Keep hope alive; hang on there: the best is yet to come.,"Yemi waited years for a child, feeling abandoned. She adopted, then conceived, renewing faith. She trusted divine timing.;Tolu’s business struggled, but he prayed. A deal came before he gave up. He held onto hope.;Sade’s scholarship was delayed, causing worry. It arrived in time for school. She stayed hopeful."
"Bí a kò bá dẹ́kun ìgbìyànjú, bópẹ́ bóyá akitiyan á dópin lọ́jọ́ kan","If one won't give up trying, one's hustling will one day come to an end","Never give up, never quit; if we won't quit, we will win eventually.","Kemi failed her driving test but kept practicing. She passed on her fifth attempt. She never quit.;Jide’s startup pitches were rejected, but he refined his plan. An investor backed him. Persistence paid off."
"Ohun tí a bá bò, ló ńníyì",Whatever is covered up (or not easily accessible) is what is respected and honoured,Familiarity breeds contempt: whatever is easily available typically loses value and worth.,"Tobi shared designs freely, and clients undervalued them. Limiting access grew demand. Scarcity increased worth.;Amaka always answered calls instantly, so friends took her lightly. Setting boundaries earned respect. Rarity added value.;Chidi gave free advice, and people ignored it. Charging made clients listen. Limited access raised credibility."
Apẹ́kótójẹun kò ní jẹ bàjẹ́,The one who tarries to eat won't necessarily eat a lousy meal,Delay is not necessarily denial; often delays imply the perfection of the object hoped for; keep hope alive: it is not over yet.,"Funmi waited years for a good partner, rejecting rushed proposals. She met a compatible spouse later. Patience brought quality.;Jide’s loan took months but came with better terms. He expanded his shop successfully. Delay refined opportunity."
"Tó bá kù díẹ̀ kí ọmọ olóore jìn sí kòtò, mànàmáná á ṣiṣẹ́ ìmọ́lẹ̀ fún un","Just before a kind person would stumble into a ditch (in darkness), the lightning would light up his or her path to save the day",Kindness pays: it's good to be good; kind acts are never lost.,"Tobi helped a stranger fix a tire, expecting nothing. The stranger connected him to a job. Kindness came back.;Ezinne shared notes with struggling classmates. They helped her move later. Generosity was rewarded.;Ade donated to charities quietly. When his shop burned, the community rebuilt it. Good deeds returned."
